Geographic code,Geographic name,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
5350605,5350605,Ontario,F,2532,2317,F,9.3,1115,1012,1.51,1679.5
5350606,5350606,Ontario,F,5092,4992,F,2,2203,2102,3.39,1500.5
5350607,5350607,Ontario,F,2978,3034,F,-1.8,1114,1072,3.24,919.8
5350608,5350608,Ontario,F,2674,2580,F,3.6,911,864,1.41,1896.3
5350609,5350609,Ontario,F,2802,2734,F,2.5,970,933,2.15,1303.2
5350610.02,5350610.02,Ontario,F,8876,8472,F,4.8,3054,2972,3.23,2749.9
5350610.03,5350610.03,Ontario,F,4533,4100,F,10.6,2620,2452,1.16,3915.9
5350610.04,5350610.04,Ontario,F,3244,3183,F,1.9,1434,1412,0.99,3281.1
5350611,5350611,Ontario,F,4992,4920,F,1.5,1737,1718,4.92,1014
5350612.01,5350612.01,Ontario,F,68,38,F,78.9,20,19,8.02,8.5
5350612.03,5350612.03,Ontario,F,6249,6458,F,-3.2,2052,1992,4.15,1504.9
5350612.05,5350612.05,Ontario,F,5871,5985,F,-1.9,2056,2017,3.27,1796.5
5350612.08,5350612.08,Ontario,F,5562,5565,F,-0.1,1705,1687,1.66,3342.5
5350612.1,5350612.1,Ontario,F,51,35,F,45.7,17,17,4.2,12.1
5350612.11,5350612.11,Ontario,F,5811,5961,F,-2.5,1765,1760,2.44,2379.2
5350612.12,5350612.12,Ontario,F,6846,6928,F,-1.2,2051,2040,1.8,3812.2
5350612.13,5350612.13,Ontario,F,3811,3924,F,-2.9,1429,1410,1.21,3141
5350612.14,5350612.14,Ontario,F,4261,4470,F,-4.7,1474,1461,2.12,2011.1
5350612.15,5350612.15,Ontario,F,7111,5762,F,23.4,2194,2167,4.06,1751.1
5350612.18,5350612.18,Ontario,F,4379,4301,F,1.8,1343,1338,1.58,2771.7
5350612.19,5350612.19,Ontario,F,4067,3990,F,1.9,1301,1294,1.01,4010.1
5350612.2,5350612.2,Ontario,F,4403,4388,F,0.3,1325,1322,1.05,4194.1
5350612.21,5350612.21,Ontario,F,6694,6225,F,7.5,2020,1979,1.36,4935.5
5350612.22,5350612.22,Ontario,F,7321,6150,F,19,2155,2090,1.44,5084
5350612.23,5350612.23,Ontario,F,4822,4621,F,4.3,1374,1369,1.34,3592.6
5350612.24,5350612.24,Ontario,F,7982,7300,F,9.3,2489,2351,2.61,3056.8
5350612.25,5350612.25,Ontario,F,5474,5666,F,-3.4,1613,1597,1.59,3433.5
5350612.26,5350612.26,Ontario,F,4141,3159,T,31.1,1967,1783,1.14,3642.4
5350612.27,5350612.27,Ontario,F,5322,5468,T,-2.7,1719,1707,1.57,3382.9
5350613.01,5350613.01,Ontario,F,4134,4224,F,-2.1,1551,1515,1.9,2176
5350613.03,5350613.03,Ontario,F,4071,4052,F,0.5,1674,1610,1.75,2332.3
5350613.04,5350613.04,Ontario,F,4477,4449,F,0.6,2104,1915,1.33,3374.5
5350614.01,5350614.01,Ontario,F,3137,3187,F,-1.6,1100,1098,1.59,1975.2
5350614.02,5350614.02,Ontario,F,3941,3956,F,-0.4,1438,1428,3.07,1284.6
5350615,5350615,Ontario,F,6430,353,F,1721.5,2103,1929,40.14,160.2
5350620.01,5350620.01,Ontario,F,9195,7789,F,18.1,3153,2967,2.51,3658.4
5350620.05,5350620.05,Ontario,F,4590,4502,F,2,1242,1239,1.04,4405.8
5350620.06,5350620.06,Ontario,F,6801,5613,F,21.2,2249,2048,1.13,6010.6
5350620.07,5350620.07,Ontario,F,5447,5165,F,5.5,1402,1398,0.97,5588.4
5350620.08,5350620.08,Ontario,F,7926,5192,T,52.7,2407,2369,1.38,5742.6
5350620.09,5350620.09,Ontario,F,5278,4161,T,26.8,1694,1550,0.94,5607.7
5350620.1,5350620.1,Ontario,F,11955,7105,T,68.3,3252,3238,2.5,4786.2
5350620.11,5350620.11,Ontario,F,11685,7004,T,66.8,3489,3461,4.55,2570.9
5350620.12,5350620.12,Ontario,F,17652,8417,T,109.7,5405,5016,8.47,2084.4
5350620.13,5350620.13,Ontario,F,2369,2425,T,-2.3,891,822,126.33,18.8
5350621,5350621,Ontario,F,5583,5587,F,-0.1,1990,1985,2.54,2195.4
